date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2019-10-24,2197,4885,-0.012071764705882358,-0.12416431223529416,-0.9449069999999999,0.917947,7082,-0.0788163588806101,0.9615266378382553,-0.07873677774578484,-0.0833670178723011,-0.08624453312258207,-0.07748954364181153,297.1531066894531,35453100,294.78978949328473,293.35749207519706,291.97713036039573,283.90038871385116
2019-10-25,2060,3725,-0.00520909090909091,0.014739091948051937,-0.947544,0.9115049999999999,5785,-0.19380952464768406,0.9586724005732302,-0.06435587471596381,-0.07609989862634901,-0.08228439096294937,-0.07657184577524573,298.36993408203125,45205400,295.3405809684765,293.7287840757033,292.22782854555794,284.04436428965397
2019-10-28,2114,5048,0.0250320987654321,-0.0003896676543209944,-0.9539700000000001,0.877208,7162,-0.07172348820877825,0.9593236128849892,-0.05208064276652322,-0.0675444073179999,-0.07695418321757778,-0.0753607160719189,300.05169677734375,42147000,296.0653680159945,294.1971479795285,292.53464690758875,284.20364122983
2019-10-29,2130,5181,0.05712696629213483,-0.09770953415730338,-0.9527950000000001,0.865576,7311,-0.05851301658249142,0.9606080402752625,-0.05910047221125863,-0.06977886115794832,-0.07776811854854741,-0.07558309237127596,299.96270751953125,44284900,296.6649587088463,294.6242264639732,292.82594340217474,284.3604478595783
2019-10-30,1934,3846,0.10729381443298971,-0.11822340907216498,-0.9538120000000001,0.912265,5780,-0.19425282906467353,0.9645019499514886,-0.06819630865139807,-0.07336734618863103,-0.07935460052986575,-0.07600737412949377,300.8827209472656,49643900,297.3138452070647,295.0878186479208,293.1418954627665,284.52484858681896
2019-10-31,1735,3882,0.017226262626262628,-0.049856791010101015,-0.95336,0.9113319999999999,5617,-0.20870455305853094,0.9616664198969254,-0.06537484439889082,-0.071625823582814,-0.0781978236859534,-0.07574716932233563,300.0814208984375,69053800,297.7396260826605,295.45771511092204,293.41403371514576,284.6796403511137
2019-11-01,2190,5352,0.06433292682926828,-0.049591982804878074,-0.944433,0.9012969999999999,7542,-0.03803235251757693,0.9597431104503624,-0.06294671184596579,-0.0699936872288928,-0.0770760260043426,-0.07548691871022163,302.861328125,71141500,298.52758024302045,296.0061308897426,293.78451584886557,284.86055266727175
2019-11-04,2179,5225,-0.02243506493506494,-0.09179404402597403,-0.938686,0.860617,7404,-0.05026755442648688,0.9603590222787792,-0.06547562037082887,-0.06973556569301229,-0.07610712921999373,-0.07527538278463553,304.0781555175781,60606900,299.3815149006447,296.60405863995265,294.1881879927367,285.05177259613055
2019-11-05,2252,7626,0.1040329787234042,-0.012971206702127655,-0.9391,0.8633059999999999,9878,0.16907947109991323,0.9588221728461619,-0.05739801826795176,-0.06553079836035416,-0.07363121068988134,-0.0746554407340633,303.7417907714844,42933200,300.05232657308153,297.13277953858466,294.56283908209934,285.2377429262336
2019-11-06,1646,4088,0.08057142857142856,-0.0960306315918368,-0.9484879999999999,0.72228,5734,-0.19833122970097686,0.963617112864197,-0.06334149724085715,-0.06779004526638992,-0.07450961935270312,-0.0748681292003098,303.81103515625,46487100,300.63058943203055,297.62746513989316,294.9255134379484,285.42255180414423
2019-11-07,1772,4249,0.10323663366336633,-0.06971380653465346,-0.9407549999999999,0.9061459999999999,6021,-0.17288555616578008,0.9620382863535507,-0.06432185251682582,-0.06793254610107612,-0.07432154826179922,-0.07481684240761671,304.87945556640625,54272300,301.28426114501144,298.1646496159312,295.3158641096526,285.61615283660456
