,adjclose,EMA12
2019-12-02,308.30242919921875,308.57589107329903
2019-12-03,306.2347717285156,308.2157188664093
2019-12-04,308.12432861328125,308.20165882746653
2019-12-05,308.6783142089844,308.2749904246231
2019-12-06,311.497802734375,308.7708077030465
2019-12-09,310.5184326171875,309.0396730744528
2019-12-10,310.17218017578125,309.21390493619566
2019-12-11,311.0526428222656,309.49678768789875
2019-12-12,313.7336120605469,310.14860682215226
2019-12-13,313.9216003417969,310.72906736363603
2019-12-16,316.0782165527344,311.55201339272804
2019-12-17,316.1474914550781,312.259010017705
2019-12-18,316.1672668457031,312.8602802989355
2019-12-19,317.4632263183594,313.5684258403853
2019-12-20,318.85504150390625,314.38175132708085
2019-12-23,319.3421936035156,315.1448962926862
2019-12-24,319.3521423339844,315.7921649144244
2019-12-26,321.0521240234375,316.6013893927341
2019-12-27,320.9725646972656,317.2738779011236
2019-12-30,319.2029724121094,317.5706616720445
2019-12-31,319.9784240722656,317.94108665669387
2020-01-02,322.9708251953125,318.7148925857121
2020-01-03,320.5252380371094,318.99340727054243
2020-01-06,321.748046875,319.4171979789205
2020-01-07,320.8433532714844,319.6366064854688
2020-01-08,322.5533142089844,320.085330750625
2020-01-09,324.74041748046875,320.80149793983173
2020-01-10,323.805908203125,321.2637149034153
2020-01-13,326.0328369140625,321.9974259819764
2020-01-14,325.5357666015625,322.54178607729733
2020-01-15,326.27142333984375,323.1155764253814
2020-01-16,328.9854736328125,324.0186375342169
2020-01-17,330.00946044921875,324.94030259806334
2020-01-21,329.3632507324219,325.62075615719544
2020-01-22,329.40301513671875,326.2026421540452
2020-01-23,329.7807922363281,326.75312678208866
2020-01-24,326.8480224609375,326.76772611729615
2020-01-27,321.6088562011719,325.9740538225078
2020-01-28,324.9790344238281,325.8209739150186
2020-01-29,324.7106018066406,325.6501474368066
2020-01-30,325.764404296875,325.66772541527865
2020-01-31,319.8492126464844,324.7725696046949
2020-02-03,322.2252197265625,324.3806696234438
2020-02-04,327.1363525390625,324.80462084123127
2020-02-05,330.91412353515625,325.74454433260433
2020-02-06,332.027587890625,326.7111664184537
2020-02-07,330.25799560546875,327.25683244722524
2020-02-10,332.7234802246094,328.0978551822074
2020-02-11,333.30010986328125,328.8982020562188
2020-02-12,335.4474792480469,329.9057831626539
2020-02-13,335.0895690917969,330.7032886902144
2020-02-14,335.6264343261719,331.46069571113094
2020-02-18,334.7615051269531,331.9685125443344
2020-02-19,336.3620910644531,332.64444770127574
2020-02-20,334.980224609375,333.0037979948295
2020-02-21,331.530517578125,332.77713946918266
2020-02-24,320.5351867675781,330.8937621304743
2020-02-25,310.822265625,327.8058395911706
2020-02-26,309.6789855957031,325.0170928226371
2020-02-27,295.7707824707031,320.5176604608011
2020-02-28,294.5281066894531,316.5192675729014
2020-03-02,307.2830810546875,315.09831580086853
2020-03-03,298.48480224609375,312.5423906385955
2020-03-04,311.0310363769531,312.30987459834284
2020-03-05,300.69183349609375,310.52248365953534
2020-03-06,295.7210693359375,308.24534299436647
2020-03-09,272.62689208984375,302.76558131674756
2020-03-10,286.73394775390625,300.29917615323353
2020-03-11,272.756103515625,296.0617803628322
2020-03-12,246.65957641601562,288.46144129409123
2020-03-13,267.7455749511719,285.27438493364207
2020-03-16,238.44786071777344,278.0703042850469
2020-03-17,251.32215881347656,273.9552049817284
2020-03-18,238.59698486328125,268.5154788096596
2020-03-19,239.10398864746094,263.99063416932137
2020-03-20,228.8000030517578,258.5766909204654
2020-03-23,222.9499969482422,253.09566107858493
2020-03-24,243.14999389648438,251.56555843518484
2020-03-25,246.7899932861328,250.83085610456146
2020-03-26,261.20001220703125,252.4261108895568
2020-03-27,253.4199981689453,252.57901662484733
2020-03-30,261.6499938964844,253.97455158971457
2020-03-31,257.75,254.55538980668155
2020-04-01,246.14999389648438,253.2622519743435
2020-04-02,251.8300018310547,253.04190579845292
2020-04-03,248.19000244140625,252.29545912813805
